epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,7751.44,0.66034,0.42428,0.85356,0.74056,0.53033,0.63286,0.51419,0.99131,0.96087,0.91399,4.27214e-05,4.27214e-05,4.27214e-05
166,7797.58,0.6652,0.42874,0.85467,0.7966,0.51069,0.6402,0.50744,0.98808,0.95351,0.91238,4.15978e-05,4.15978e-05,4.15978e-05
167,7843.48,0.65382,0.42304,0.85163,0.70567,0.55147,0.64152,0.51241,0.99016,0.94045,0.90905,4.04741e-05,4.04741e-05,4.04741e-05
168,7889.69,0.65329,0.42171,0.85421,0.61616,0.58064,0.64374,0.51105,0.98551,0.94311,0.91285,3.93505e-05,3.93505e-05,3.93505e-05
169,7935.37,0.66203,0.42297,0.85534,0.68641,0.56476,0.63647,0.50338,0.99218,0.97344,0.91469,3.82268e-05,3.82268e-05,3.82268e-05
170,7981.48,0.65115,0.41737,0.85301,0.61278,0.58344,0.63357,0.51262,0.98863,0.97747,0.91708,3.71032e-05,3.71032e-05,3.71032e-05
171,8027.16,0.65358,0.41993,0.85091,0.70683,0.53479,0.63433,0.50052,0.99864,0.9827,0.91242,3.59795e-05,3.59795e-05,3.59795e-05
172,8073.66,0.65694,0.41881,0.85197,0.68097,0.52785,0.63541,0.50041,0.99773,0.99515,0.91458,3.48559e-05,3.48559e-05,3.48559e-05
173,8119.66,0.64965,0.41376,0.85045,0.69409,0.54988,0.64679,0.5128,0.99435,0.96903,0.90894,3.37322e-05,3.37322e-05,3.37322e-05
174,8165.43,0.64905,0.41688,0.84841,0.66633,0.5652,0.64158,0.50321,1.00114,0.97579,0.91072,3.26086e-05,3.26086e-05,3.26086e-05
175,8211.53,0.64952,0.41852,0.85083,0.71403,0.55443,0.63552,0.49917,1.00958,0.96337,0.91623,3.14849e-05,3.14849e-05,3.14849e-05
